(0.0225825,-0.0419865)
(0.0406446,-0.0362616)
(0.0434046,-0.0323009)
(0.0415969,-0.0319501)
(0.0376631,-0.0423326)
(0.0388248,-0.0366383)
(0.0373446,-0.0350487)
(0.0389006,-0.037207)
(0.026827,-0.0346082)
(0.028596,-0.0388258)
(0.0418095,-0.0323408)
(0.0400819,-0.0320909)
(0.0381366,-0.030522)
(0.0308047,-0.037928)
(0.0311282,-0.0340836)
(0.0335298,-0.0303111)
(0.031957,-0.0259271)
(0.034743,-0.0333995)
(0.0355612,-0.031124)
(0.0397389,-0.0342189)
(0.0322655,-0.0354502)
(0.0335744,-0.0384811)
(0.0356736,-0.0402429)
(0.0347293,-0.0319334)
(0.0345472,-0.0342742)
(0.0412367,-0.0323792)
(0.0398131,-0.0270977)
(0.0391552,-0.0378635)
(0.0354187,-0.028052)
(0.0391245,-0.0376742)
(0.0388104,-0.0399463)
(0.0372979,-0.0314654)
(0.0288874,-0.033349)
(0.0373128,-0.0318393)
(0.0361068,-0.0296224)
(0.0312972,-0.0322571)
(0.0357699,-0.028358)
(0.0322965,-0.0264929)
(0.0292723,-0.0294092)
(0.030555,-0.0344016)
(0.040506,-0.0273199)
(0.0400984,-0.0282841)
(0.0334385,-0.0273763)
(0.0400186,-0.0261983)
(0.0341572,-0.0350677)
(0.0375577,-0.0228209)
(0.034009,-0.0235284)
(0.0289085,-0.0295864)
(0.0354545,-0.03043)
(0.0298182,-0.035007)
(0.0326871,-0.0301998)
(0.0364219,-0.0261295)
(0.0315027,-0.0307005)
(0.0343034,-0.0297095)
(0.0437539,-0.0345364)
(0.0349193,-0.0218677)
(0.0347649,-0.0304501)
(0.0350002,-0.0277481)
(0.0380863,-0.0268113)
(0.0458909,-0.0293768)
(0.0386957,-0.0284205)
(0.0405189,-0.0238843)
(0.0321399,-0.0198608)
(0.0311987,-0.0207803)
(0.0364952,-0.020651)
(0.0331926,-0.0194686)
(0.0359415,-0.0245177)
(0.0426313,-0.0212211)
(0.0307014,-0.0279427)
(0.036891,-0.0222113)
(0.0337784,-0.0173735)
(0.0417814,-0.0251846)
(0.0464711,-0.0227188)
(0.0183833,-0.028986)
(0.0359153,-0.0235945)
(0.0278481,-0.0285946)
(0.0309627,-0.0193343)
(0.0343443,-0.0244844)
(0.0395228,-0.0267359)
(0.0348231,-0.0211307)
(0.0367643,-0.0211369)
(0.036479,-0.0236334)
(0.0392054,-0.0283307)
(0.0372462,-0.022084)
(0.043003,-0.0201886)
(0.0348961,-0.017512)
(0.0338941,-0.0272266)
(0.0338632,-0.0285525)
(0.0379679,-0.0251486)
(0.0400054,-0.0209037)
(0.0346153,-0.0324667)
(0.0355917,-0.0176035)
(0.0336046,-0.0151535)
(0.0406895,-0.0173019)
(0.03745,-0.0243115)
(0.042612,-0.0223163)
(0.0351815,-0.0181778)
(0.0370339,-0.0222629)
(0.0425003,-0.0248102)
(0.0354175,-0.0197817)
(0.0304561,-0.0152873)
(0.0306376,-0.0220537)
(0.0399293,-0.0254586)
(0.0256998,-0.0277592)
(0.034446,-0.0215571)
(0.0325947,-0.0167618)
(0.0359719,-0.0170295)
(0.0321502,-0.0270351)
(0.0331341,-0.0189581)
(0.0352924,-0.019821)
